Gruntfile.js: line 42, col 30, 'async functions' is only available in ES8 (use 'esversion: 8').
Gruntfile.js: line 66, col 106, Line is too long.
Gruntfile.js: line 67, col 102, Line is too long.

app.js: line 41, col 119, Line is too long.
app.js: line 52, col 111, Line is too long.
app.js: line 54, col 106, Line is too long.

build/public/scripts-admin.js: line 5, col 24, 'item' is defined but never used.
build/public/scripts-admin.js: line 15, col 25, 'item' is defined but never used.
build/public/scripts-admin.js: line 47, col 104, Line is too long.
build/public/scripts-admin.js: line 51, col 113, Line is too long.
build/public/scripts-admin.js: line 70, col 9, Expected '{' and instead saw 'return'.
build/public/scripts-admin.js: line 74, col 9, Expected '{' and instead saw 'return'.
build/public/scripts-admin.js: line 83, col 9, Expected '{' and instead saw 'throw'.
build/public/scripts-admin.js: line 87, col 9, Expected '{' and instead saw 'return'.
build/public/scripts-admin.js: line 91, col 9, Expected '{' and instead saw 'self'.
build/public/scripts-admin.js: line 94, col 109, Line is too long.
build/public/scripts-admin.js: line 102, col 13, Expected '{' and instead saw 'self'.
build/public/scripts-admin.js: line 113, col 120, Line is too long.
build/public/scripts-admin.js: line 117, col 121, Line is too long.
build/public/scripts-admin.js: line 125, col 9, Expected '{' and instead saw 'return'.
build/public/scripts-admin.js: line 128, col 104, Line is too long.
build/public/scripts-admin.js: line 131, col 9, Expected '{' and instead saw 'return'.
build/public/scripts-admin.js: line 138, col 193, Line is too long.
build/public/scripts-admin.js: line 159, col 9, Expected '{' and instead saw 'self'.
build/public/scripts-admin.js: line 162, col 124, Line is too long.
build/public/scripts-admin.js: line 163, col 9, Expected '{' and instead saw 'self'.
build/public/scripts-admin.js: line 165, col 125, Line is too long.
build/public/scripts-admin.js: line 186, col 134, Line is too long.
build/public/scripts-admin.js: line 186, col 11, Expected '{' and instead saw 'item'.
build/public/scripts-admin.js: line 186, col 99, Expected '===' and instead saw '=='.
build/public/scripts-admin.js: line 188, col 110, Line is too long.
build/public/scripts-admin.js: line 188, col 11, Expected '{' and instead saw 'item'.
build/public/scripts-admin.js: line 188, col 99, Expected '===' and instead saw '=='.
build/public/scripts-admin.js: line 194, col 113, Line is too long.
build/public/scripts-admin.js: line 197, col 11, Expected '{' and instead saw 'return'.
build/public/scripts-admin.js: line 199, col 105, Line is too long.
build/public/scripts-admin.js: line 200, col 105, Line is too long.
build/public/scripts-admin.js: line 202, col 11, Expected '{' and instead saw 'self'.
build/public/scripts-admin.js: line 206, col 9, Expected '{' and instead saw 'self'.
build/public/scripts-admin.js: line 210, col 9, Expected '{' and instead saw 'self'.
build/public/scripts-admin.js: line 225, col 9, Expected '{' and instead saw 'self'.
build/public/scripts-admin.js: line 247, col 36, Expected '===' and instead saw '=='.
build/public/scripts-admin.js: line 251, col 113, Line is too long.
